cycle_id	timestamp	ticker	action	confidence	tokens_used	elapsed_sec	outcome	realized_pnl	status	experiment_desc	snapshot_ref
cycle-1779325069	2026-05-21T01:06:25.116486+00:00	AAPL	SELL	95	0	0.00		0.0000	ok		
cycle-1779326032	2026-05-21T01:21:27.060828+00:00	AAPL	SELL	95	0	0.00		0.0000	ok		
cycle-1779347255	2026-05-21T07:19:58.563934+00:00	CAC	SELL	0	0	0.00		0.0000	ok		
cycle-1779347255	2026-05-21T07:28:39.005888+00:00	IP	SELL	0	0	0.00		0.0000	ok		
cycle-1779347255	2026-05-21T07:28:39.537261+00:00	AMZN	SELL	0	0	0.00		0.0000	ok		
cycle-1779347255	2026-05-21T07:38:10.089921+00:00	SMCI	SELL	0	0	0.00		0.0000	ok		
cycle-1779347255	2026-05-21T07:48:22.068207+00:00	ROST	BUY	75	0	0.00		0.0000	ok		
cycle-1779347255	2026-05-21T07:58:15.089122+00:00	RLAY	SELL	0	0	0.00		0.0000	ok		
cycle-1779347255	2026-05-21T08:18:04.975302+00:00	TSLA	SELL	0	0	0.00		0.0000	ok		
cycle-1779347255	2026-05-21T08:18:05.337593+00:00	MSFT	SELL	0	0	0.00		0.0000	ok		
cycle-1779428947	2026-05-22T05:58:11.427758+00:00	ADBE	BUY	78	0	0.00		0.0000	ok		
cycle-1779429729	2026-05-22T06:05:36.707052+00:00	ADBE	SELL	65	0	0.00		0.0000	ok		
cycle-1779429729	2026-05-22T06:11:35.872554+00:00	ASTS	SELL	0	0	0.00		0.0000	ok		
cycle-1779429729	2026-05-22T06:11:36.700822+00:00	NVDA	BUY	65	0	0.00		0.0000	ok		
cycle-1779429729	2026-05-22T06:12:47.878177+00:00	HIMS	SELL	0	0	0.00		0.0000	ok		
cycle-1779429729	2026-05-22T06:16:09.653436+00:00	POET	SELL	85	0	0.00		0.0000	ok		
cycle-1779430985	2026-05-22T06:31:57.393886+00:00	ADBE	BUY	78	0	0.00		0.0000	ok		
cycle-1779431814	2026-05-22T06:45:45.861536+00:00	ADBE	BUY	78	0	0.00		0.0000	ok		
cycle-1779476727	2026-05-22T19:16:44.812916+00:00	AAPL	SELL	95	0	0.00		0.0000	ok		
cycle-1779491072	2026-05-22T23:12:01.219946+00:00	CDNA	HOLD	75	0	0.00		0.0000	ok		
cycle-1779491072	2026-05-22T23:12:07.181653+00:00	ARCB	HOLD	65	0	0.00		0.0000	ok		
cycle-1779491072	2026-05-22T23:12:32.647308+00:00	AAPL	SELL	95	0	0.00		0.0000	ok		
cycle-1779491072	2026-05-22T23:19:56.682578+00:00	SHLS	HOLD	65	0	0.00		0.0000	ok		
cycle-1779491072	2026-05-22T23:20:06.168910+00:00	LRMR	HOLD	65	0	0.00		0.0000	ok		
cycle-1779491072	2026-05-22T23:20:16.736328+00:00	FDS	HOLD	65	0	0.00		0.0000	ok		
cycle-1779659703	2026-05-24T22:31:05.051420+00:00	AAPL	SELL	0	0	0.00		0.0000	ok		
cycle-1779685128	2026-05-25T05:07:59.147635+00:00	AAPL	SELL	0	0	0.00		0.0000	ok		
cycle-1779687219	2026-05-25T05:42:08.302277+00:00	TMO	HOLD	0	0	0.00		0.0000	ok		
cycle-1779687219	2026-05-25T05:47:38.985073+00:00	HBM	SELL	0	0	0.00		0.0000	ok		
cycle-1779687219	2026-05-25T05:48:19.809271+00:00	MSFT	SELL	0	0	0.00		0.0000	ok		
cycle-1779687219	2026-05-25T05:49:09.394524+00:00	AAPL	SELL	0	0	0.00		0.0000	ok		
cycle-1779688357	2026-05-25T05:59:48.406085+00:00	TMO	HOLD	0	0	0.00		0.0000	ok		
cycle-1779688897	2026-05-25T06:08:49.067581+00:00	TMO	HOLD	0	0	0.00		0.0000	ok		
cycle-1779688897	2026-05-25T06:09:47.020521+00:00	NVDA	SELL	0	0	0.00		0.0000	ok		
cycle-1779688897	2026-05-25T06:09:47.956424+00:00	AMD	SELL	0	0	0.00		0.0000	ok		
cycle-1779689560	2026-05-25T06:19:42.190005+00:00	TMO	HOLD	0	0	0.00		0.0000	ok		
cycle-1779691216	2026-05-25T06:47:02.609152+00:00	TMO	HOLD	0	0	0.00		0.0000	ok		
